id,Registration_Interval_Days,Age,City,Country,Recruitment_Generation,Gender,Number_of_Recruits,Heard_From,Recruiter_id,Recruiter_Age,Recruiter_City,Recruiter_Country,Recruiter_Gender,Recruiter_Number_of_Recruits,Recruiter_Heard_From,Same_Heard_From_as_Recruiter,Location_Comparison,Recruiter_Join_Date_Numeric_Days,,Same_Gender_as_Recruiter,Heard_Through_Medium,Recruiter_Heard_Through_Medium,Heard_Through_Same_Medium_as_Recruiter,Same_Age_as_Recruiter,Distance_from_Recruiter,Same_City_as_Recruiter,Same_Country_as_Recruiter,Has_Recruits
192,4.2703,unknown,Lowell,United States,1,female,0,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,0,0,6,2,2,3968.96,0,1,FALSE
193,4.2707,unknown,Southend-on-sea,United Kingdom,1,female,0,0,97,2,Seattle,United States,male,305,5,2,Different Country,15148.91922,,0,0,6,2,2,7733.65,0,0,FALSE
194,20.0811,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
195,20.0818,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
196,20.0824,unknown,Farnborough,United Kingdom,1,male,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,0,1,4,0,2,221.425,0,1,FALSE
197,4.2756,2,,United States,1,female,0,0,97,2,Seattle,United States,male,305,5,2,unknown,15148.91922,,0,100,6,0,1,2463.78,2,1,FALSE
199,4.2779,unknown,,Mexico,1,male,0,0,97,2,Seattle,United States,male,305,5,2,unknown,15148.91922,,1,0,6,2,2,3190.18,2,0,FALSE
200,4.2824,3,Boulder Creek,United States,1,female,1,5,97,2,Seattle,United States,male,305,5,1,Different City,15148.91922,,0,100,6,0,0,1165.83,0,1,TRUE
201,20.0911,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
202,20.0919,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
203,4.2845,unknown,Foothill Ranch,United States,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,1,0,6,2,2,1597.15,0,1,FALSE
204,4.2845,3,,Germany,1,male,0,100,97,2,Seattle,United States,male,305,5,0,unknown,15148.91922,,1,4,6,0,0,8148.11,2,0,FALSE
205,20.0925,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
206,20.0931,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
207,4.2855,unknown,Sydney,Australia,1,unknown,0,3,97,2,Seattle,United States,male,305,5,0,Different Country,15148.91922,,2,4,6,0,2,12474.7,0,0,FALSE
208,20.0939,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
